text,clause_type,risk
a copy of the insurance policies shall promptly be made available to edge upon edge' request.,Insurance,Low Risk
sponsorship agreement,Document Name,Low Risk
trust,Parties,Low Risk
domini advisor trust,Parties,Low Risk
domini social investments llc,Parties,Low Risk
"""domini"" or the ""sponsor""",Parties,Low Risk
"february 4, 2005",Agreement Date,Low Risk
"february 4, 2005",Effective Date,Low Risk
"this agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this section 6.",Effective Date,Low Risk
"this agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this section 6.",Expiration Date,Low Risk
this agreement shall be construed and enforced and interpreted in accordance with and governed by the laws of the commonwealth of massachusetts without reference to principles of conflicts of law.,Governing Law,Low Risk
"this agreement may be terminated at any time, without the payment of any penalty, with respect to any series or the trust, by the board of trustees of the trust, or by the sponsor, in each case on not less than 60 days' written notice to the other party.",Termination For Convenience,Low Risk
"for the services to be rendered and facilities to be provided by the sponsor hereunder, the trust shall pay domini a fee accrued daily and payable monthly at an annual rate equal to 0.50% of the trust's average daily net assets for the trust's then current fiscal year.",Revenue/Profit Sharing,Low Risk
limitation of liability of the sponsor.,Cap On Liability,Low Risk
sample of non-disclosure and non-competition agreement,Document Name,Low Risk
franchisee,Parties,Low Risk
___________________________,Parties,Low Risk
member,Parties,Low Risk
"this _____ day of _________, 20___",Agreement Date,Low Risk
"member covenants and agrees that during the term of the franchise agreement, except as otherwise approved in writing by franchisor, member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity: (i) own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by pizza fusions restaurants (""competitive business"");",Non-Compete,Low Risk
